pair,metric,component,layer,head,value_std
original_vs_version1,head_output_maxmatch_cosine,head_output,9,4,0.018436
original_vs_version1,head_output_maxmatch_cosine,head_output,9,5,0.035852
original_vs_version1,head_output_maxmatch_cosine,head_output,9,6,0.035169
original_vs_version1,head_output_maxmatch_cosine,head_output,9,7,0.025482
original_vs_version1,head_output_maxmatch_cosine,head_output,9,8,0.032347
original_vs_version1,head_output_maxmatch_cosine,head_output,9,9,0.040782
original_vs_version1,head_output_maxmatch_cosine,head_output,9,10,0.032143
original_vs_version1,head_output_maxmatch_cosine,head_output,9,11,0.014934
original_vs_version1,head_output_maxmatch_cosine,head_output,9,12,0.027723
original_vs_version1,head_output_maxmatch_cosine,head_output,9,13,0.03278
original_vs_version1,head_output_maxmatch_cosine,head_output,9,14,0.019371
original_vs_version1,head_output_maxmatch_cosine,head_output,9,15,0.02267
original_vs_version1,head_output_maxmatch_cosine,head_output,9,16,0.036211
original_vs_version1,head_output_maxmatch_cosine,head_output,9,17,0.038859
original_vs_version1,head_output_maxmatch_cosine,head_output,9,18,0.031924
original_vs_version1,head_output_maxmatch_cosine,head_output,9,19,0.035333
original_vs_version1,head_output_maxmatch_cosine,head_output,9,20,0.032345
original_vs_version1,head_output_maxmatch_cosine,head_output,9,21,0.037115
original_vs_version1,head_output_maxmatch_cosine,head_output,9,22,0.030178
original_vs_version1,head_output_maxmatch_cosine,head_output,9,23,0.018364
original_vs_version1,head_output_maxmatch_cosine,head_output,9,24,0.034033
original_vs_version1,head_output_maxmatch_cosine,head_output,9,25,0.053108
original_vs_version1,head_output_maxmatch_cosine,head_output,9,26,0.050651
original_vs_version1,head_output_maxmatch_cosine,head_output,9,27,0.046076
original_vs_version1,head_output_maxmatch_cosine,head_output,9,28,0.037838
original_vs_version1,head_output_maxmatch_cosine,head_output,9,29,0.042664
original_vs_version1,head_output_maxmatch_cosine,head_output,9,30,0.026647
original_vs_version1,head_output_maxmatch_cosine,head_output,9,31,0.017464
original_vs_version1,head_output_maxmatch_cosine,head_output,9,32,0.027183
original_vs_version1,head_output_maxmatch_cosine,head_output,9,33,0.034011
original_vs_version1,head_output_maxmatch_cosine,head_output,9,34,0.024143
original_vs_version1,head_output_maxmatch_cosine,head_output,9,35,0.00876
original_vs_version1,head_output_maxmatch_cosine,head_output,9,36,0.016957
