pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,6,24,0.825751
original_vs_version1,head_output_maxmatch_cosine,head_output,6,25,0.891234
original_vs_version1,head_output_maxmatch_cosine,head_output,6,26,0.911108
original_vs_version1,head_output_maxmatch_cosine,head_output,6,27,0.903567
original_vs_version1,head_output_maxmatch_cosine,head_output,6,28,0.906879
original_vs_version1,head_output_maxmatch_cosine,head_output,6,29,0.882562
original_vs_version1,head_output_maxmatch_cosine,head_output,6,30,0.879256
original_vs_version1,head_output_maxmatch_cosine,head_output,6,31,0.864223
original_vs_version1,head_output_maxmatch_cosine,head_output,6,32,0.871499
original_vs_version1,head_output_maxmatch_cosine,head_output,6,33,0.861854
original_vs_version1,head_output_maxmatch_cosine,head_output,6,34,0.89743
original_vs_version1,head_output_maxmatch_cosine,head_output,6,35,0.802655
original_vs_version1,head_output_maxmatch_cosine,head_output,6,36,0.889704
original_vs_version1,head_output_maxmatch_cosine,head_output,6,37,0.872025
original_vs_version1,head_output_maxmatch_cosine,head_output,6,38,0.764756
original_vs_version1,head_output_maxmatch_cosine,head_output,6,39,0.797784
original_vs_version1,head_output_maxmatch_cosine,head_output,7,0,0.890628
original_vs_version1,head_output_maxmatch_cosine,head_output,7,1,0.904295
original_vs_version1,head_output_maxmatch_cosine,head_output,7,2,0.874809
original_vs_version1,head_output_maxmatch_cosine,head_output,7,3,0.95307
original_vs_version1,head_output_maxmatch_cosine,head_output,7,4,0.913887
original_vs_version1,head_output_maxmatch_cosine,head_output,7,5,0.915337
original_vs_version1,head_output_maxmatch_cosine,head_output,7,6,0.899673
original_vs_version1,head_output_maxmatch_cosine,head_output,7,7,0.905531
original_vs_version1,head_output_maxmatch_cosine,head_output,7,8,0.920559
original_vs_version1,head_output_maxmatch_cosine,head_output,7,9,0.909112
original_vs_version1,head_output_maxmatch_cosine,head_output,7,10,0.829921
original_vs_version1,head_output_maxmatch_cosine,head_output,7,11,0.895027
original_vs_version1,head_output_maxmatch_cosine,head_output,7,12,0.922503
original_vs_version1,head_output_maxmatch_cosine,head_output,7,13,0.827589
original_vs_version1,head_output_maxmatch_cosine,head_output,7,14,0.876751
original_vs_version1,head_output_maxmatch_cosine,head_output,7,15,0.930297
