pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
version1_vs_version3,2,14,15,1,1,0.169976,0.030314,0.162952,0.727894,0.065658,0.691785,0.065359,0.014388,0.060445,0.319145,0.033798,0.31916
version1_vs_version3,38,20,15,1,1,0.127322,0.018365,0.127493,0.72916,0.069175,0.717721,0.061721,0.011535,0.063632,39.671406,2.510264,39.044261
version1_vs_version3,0,28,15,1,1,0.158556,0.028611,0.156107,0.732604,0.069429,0.707247,0.110491,0.041701,0.098432,0.174232,0.005082,0.176487
version1_vs_version3,0,30,15,1,1,0.106483,0.018485,0.09944,0.733007,0.05463,0.725825,0.063114,0.011561,0.066975,0.264087,0.010844,0.264528
version1_vs_version3,39,31,15,1,1,0.136585,0.023568,0.134594,0.733418,0.078275,0.706052,0.069202,0.018403,0.072694,25.310628,1.176182,25.23496
version2_vs_version3,3,21,15,1,1,0.234661,0.043668,0.240134,0.736677,0.075842,0.734444,0.116961,0.026314,0.106862,0.464043,0.055678,0.475961
version2_vs_version3,10,15,15,1,1,0.21336,0.036009,0.209114,0.770741,0.053177,0.773065,0.083281,0.027607,0.07397,0.872701,0.079543,0.854008
version2_vs_version3,24,5,15,1,1,0.108519,0.00947,0.107879,0.776015,0.045294,0.790643,0.04859,0.005459,0.048578,10.874537,0.225926,10.859531
version2_vs_version3,13,22,15,1,1,0.121764,0.015875,0.118786,0.777165,0.043938,0.779331,0.058568,0.01317,0.058449,2.892468,0.096656,2.858263
version2_vs_version3,35,22,15,1,1,0.379505,0.060631,0.365235,0.779282,0.070699,0.787303,0.156137,0.065243,0.133647,3.555472,1.241409,3.436934
version2_vs_version3,13,23,15,1,1,0.327411,0.030671,0.33329,0.792286,0.046033,0.791404,0.131537,0.03862,0.132566,1.282764,0.111547,1.311868
version2_vs_version3,32,19,15,1,1,0.248775,0.036999,0.246522,0.792864,0.046309,0.798643,0.08791,0.034995,0.077047,3.342914,0.508552,3.345204
version2_vs_version3,20,0,15,1,1,0.206846,0.025255,0.202883,0.802725,0.039741,0.809998,0.058131,0.010996,0.05928,3.875446,0.108353,3.909435
version2_vs_version3,11,28,15,1,1,0.145073,0.030991,0.140441,0.806749,0.050055,0.806469,0.051938,0.017693,0.047943,1.468344,0.268833,1.359821
version2_vs_version3,4,39,15,1,1,0.164982,0.022653,0.163833,0.807102,0.052872,0.817838,0.05617,0.015497,0.053285,0.479191,0.043124,0.475285
version2_vs_version3,6,16,15,1,1,0.110189,0.011432,0.109888,0.809324,0.040486,0.820336,0.053497,0.011691,0.052487,1.13226,0.05814,1.135404
version2_vs_version3,4,32,15,1,1,0.155636,0.02153,0.153143,0.80968,0.056921,0.811072,0.051758,0.011723,0.050983,0.674975,0.042239,0.670926
version2_vs_version3,5,13,15,1,1,0.143038,0.021979,0.141282,0.810352,0.066809,0.831906,0.051453,0.016003,0.050109,1.082882,0.085393,1.102662
version2_vs_version3,11,25,15,1,1,0.128524,0.018557,0.13208,0.813234,0.047516,0.816684,0.05341,0.016022,0.04997,1.389399,0.143997,1.381841
version2_vs_version3,30,1,15,1,1,0.168424,0.045175,0.14062,0.816656,0.072386,0.82429,0.048385,0.02207,0.04104,6.434355,1.178619,6.766946
version2_vs_version3,4,20,15,1,1,0.368973,0.036753,0.374633,0.81701,0.044973,0.826306,0.142941,0.049118,0.125462,0.392876,0.022407,0.388541
version2_vs_version3,11,29,15,1,1,0.161107,0.023155,0.161358,0.817603,0.036764,0.82875,0.056414,0.023225,0.048635,1.341261,0.22031,1.380445
version2_vs_version3,32,15,15,1,1,0.215899,0.033707,0.216737,0.819414,0.044306,0.814084,0.068216,0.025878,0.058744,3.760321,0.477904,3.719873
version2_vs_version3,3,32,15,1,1,0.334264,0.046368,0.322338,0.81956,0.068151,0.797857,0.108867,0.023168,0.103429,0.339121,0.073525,0.313349
version2_vs_version3,3,24,15,1,1,0.34267,0.048529,0.347176,0.821203,0.056587,0.83809,0.107505,0.026718,0.102407,0.190004,0.016718,0.19146
