layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
1,25,version1_vs_version3,15,1,1,0.167357,0.00493,0.16762
1,25,version2_vs_version3,15,1,1,0.1674,0.005987,0.166216
1,26,original_vs_version1,15,1,1,0.206921,0.015472,0.205941
1,26,original_vs_version2,15,1,1,0.203022,0.010655,0.201161
1,26,original_vs_version3,15,1,1,0.200089,0.010643,0.197075
1,26,version1_vs_version2,15,1,1,0.2052,0.014397,0.205938
1,26,version1_vs_version3,15,1,1,0.202475,0.013489,0.198392
1,26,version2_vs_version3,15,1,1,0.197647,0.008864,0.194566
1,27,original_vs_version1,15,1,1,0.181274,0.022002,0.174095
1,27,original_vs_version2,15,1,1,0.167563,0.011887,0.167169
1,27,original_vs_version3,15,1,1,0.166811,0.012477,0.163658
1,27,version1_vs_version2,15,1,1,0.178779,0.022116,0.175422
1,27,version1_vs_version3,15,1,1,0.177904,0.021392,0.171875
1,27,version2_vs_version3,15,1,1,0.163773,0.011253,0.164657
1,28,original_vs_version1,15,1,1,0.25432,0.02024,0.256976
1,28,original_vs_version2,15,1,1,0.234984,0.019602,0.232214
