layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
1,0,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.216504,,0.216504
1,0,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.146548,,0.146548
1,1,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.330767,,0.330767
1,1,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.330806,,0.330806
1,1,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.319704,,0.319704
1,1,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.311809,,0.311809
1,1,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.329307,,0.329307
1,1,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.317112,,0.317112
1,2,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.389068,,0.389068
1,2,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.401805,,0.401805
1,2,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.414729,,0.414729
1,2,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.476969,,0.476969
1,2,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.455716,,0.455716
1,2,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.467003,,0.467003
1,3,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.391713,,0.391713
1,3,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.370832,,0.370832
1,3,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.394034,,0.394034
1,3,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.41687,,0.41687
1,3,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.419192,,0.419192
1,3,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.439643,,0.439643
1,4,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.522672,,0.522672
1,4,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.478306,,0.478306
1,4,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.514438,,0.514438
1,4,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.597894,,0.597894
1,4,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.60964,,0.60964
1,4,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.638593,,0.638593
1,5,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.177438,,0.177438
1,5,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.18783,,0.18783
1,5,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.200699,,0.200699
1,5,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.219751,,0.219751
1,5,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.210243,,0.210243
1,5,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.190694,,0.190694
1,6,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.140315,,0.140315
1,6,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.111188,,0.111188
1,6,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.142293,,0.142293
1,6,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.131153,,0.131153
1,6,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.135919,,0.135919
1,6,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.136382,,0.136382
1,7,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.118905,,0.118905
1,7,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.116523,,0.116523
1,7,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.127193,,0.127193
1,7,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.128411,,0.128411
1,7,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.130537,,0.130537
1,7,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.11786,,0.11786
1,8,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.162898,,0.162898
1,8,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.148776,,0.148776
1,8,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.173974,,0.173974
1,8,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.175534,,0.175534
1,8,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.183125,,0.183125
1,8,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.164044,,0.164044
1,9,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.115,,0.115
1,9,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.116004,,0.116004
1,9,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.12309,,0.12309
1,9,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.117347,,0.117347
1,9,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.121636,,0.121636
1,9,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.11557,,0.11557
1,10,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.282514,,0.282514
1,10,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.263371,,0.263371
1,10,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.265393,,0.265393
1,10,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.231332,,0.231332
1,10,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.257526,,0.257526
1,10,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.247332,,0.247332
1,11,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.263064,,0.263064
1,11,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.245057,,0.245057
1,11,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.248986,,0.248986
1,11,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.233134,,0.233134
1,11,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.256758,,0.256758
1,11,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.251602,,0.251602
1,12,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.132951,,0.132951
1,12,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.128999,,0.128999
1,12,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.136168,,0.136168
1,12,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.119729,,0.119729
1,12,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.125991,,0.125991
1,12,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.12842,,0.12842
1,13,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.379867,,0.379867
1,13,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.372871,,0.372871
