pair,component,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gpqa_orgn_vs_gpqa_ver1,v,34,8,1,8,0.057844,0.044257,0.038464,0.464351,0.037501,0.470918,0.011117,0.008926,0.00668
gpqa_orgn_vs_gpqa_ver1,v,35,8,1,8,0.041721,0.022915,0.027926,0.46336,0.027351,0.469212,0.01434,0.009073,0.010592
gpqa_orgn_vs_gpqa_ver1,v,36,8,1,8,0.083066,0.074178,0.055109,0.458745,0.067035,0.439978,0.012539,0.006706,0.009897
gpqa_orgn_vs_gpqa_ver1,v,37,8,1,8,0.085405,0.08629,0.04699,0.476798,0.063262,0.456759,0.024214,0.034146,0.011482
gpqa_orgn_vs_gpqa_ver1,v,38,8,1,8,0.088133,0.097493,0.0419,0.443491,0.09196,0.40927,0.011945,0.005448,0.010782
gpqa_orgn_vs_gpqa_ver1,v,39,8,1,8,0.103783,0.107569,0.052504,0.463779,0.100524,0.434168,0.016262,0.011208,0.013124
gsm8k_orgn_vs_gpqa_orgn,k,0,8,1,8,0.950078,0.060685,0.978295,0.980427,0.024433,0.991567,0.031334,0.007544,0.033091
gsm8k_orgn_vs_gpqa_orgn,k,1,8,1,8,0.695758,0.105138,0.702382,0.877018,0.048599,0.886364,0.039742,0.013654,0.041028
gsm8k_orgn_vs_gpqa_orgn,k,2,8,1,8,0.708557,0.121351,0.734054,0.862405,0.06956,0.88562,0.03779,0.012387,0.038424
gsm8k_orgn_vs_gpqa_orgn,k,3,8,1,8,0.456317,0.084156,0.462141,0.744099,0.036105,0.749757,0.043682,0.015702,0.039738
gsm8k_orgn_vs_gpqa_orgn,k,4,8,1,8,0.559409,0.079543,0.552264,0.782862,0.044097,0.783676,0.046383,0.015018,0.042791
gsm8k_orgn_vs_gpqa_orgn,k,5,8,1,8,0.54898,0.115325,0.548519,0.789074,0.07342,0.793961,0.036484,0.013531,0.033158
gsm8k_orgn_vs_gpqa_orgn,k,6,8,1,8,0.512075,0.107005,0.519091,0.765958,0.078969,0.760942,0.075414,0.047933,0.059568
gsm8k_orgn_vs_gpqa_orgn,k,7,8,1,8,0.732356,0.071733,0.745682,0.860429,0.040258,0.870056,0.047818,0.022008,0.043518
gsm8k_orgn_vs_gpqa_orgn,k,8,8,1,8,0.851307,0.060875,0.873488,0.923103,0.034886,0.932168,0.047611,0.022092,0.045322
gsm8k_orgn_vs_gpqa_orgn,k,9,8,1,8,0.552307,0.139583,0.582167,0.764925,0.087014,0.778646,0.037841,0.009443,0.040786
gsm8k_orgn_vs_gpqa_orgn,k,10,8,1,8,0.840298,0.09997,0.867083,0.918507,0.045227,0.926967,0.039033,0.009777,0.039693
gsm8k_orgn_vs_gpqa_orgn,k,11,8,1,8,0.633128,0.088837,0.659426,0.802376,0.049511,0.813832,0.05018,0.008974,0.048532
gsm8k_orgn_vs_gpqa_orgn,k,12,8,1,8,0.401884,0.144478,0.385878,0.669934,0.099907,0.656664,0.052853,0.006825,0.054094
gsm8k_orgn_vs_gpqa_orgn,k,13,8,1,8,0.459107,0.098873,0.460837,0.7031,0.072444,0.69125,0.055969,0.014345,0.058849
gsm8k_orgn_vs_gpqa_orgn,k,14,8,1,8,0.501405,0.137505,0.450576,0.738927,0.08445,0.726298,0.061743,0.016423,0.061672
gsm8k_orgn_vs_gpqa_orgn,k,15,8,1,8,0.531262,0.087897,0.539056,0.745784,0.057076,0.755057,0.057198,0.011364,0.056702
gsm8k_orgn_vs_gpqa_orgn,k,16,8,1,8,0.64299,0.078396,0.63835,0.817918,0.052845,0.810657,0.051714,0.012794,0.054882
gsm8k_orgn_vs_gpqa_orgn,k,17,8,1,8,0.454177,0.124513,0.434101,0.723366,0.080032,0.694792,0.062668,0.017219,0.059135
gsm8k_orgn_vs_gpqa_orgn,k,18,8,1,8,0.417347,0.101224,0.379016,0.703218,0.054214,0.683128,0.052418,0.011001,0.054485
gsm8k_orgn_vs_gpqa_orgn,k,19,8,1,8,0.436996,0.032818,0.442736,0.71455,0.023548,0.716964,0.061318,0.008745,0.06021
gsm8k_orgn_vs_gpqa_orgn,k,20,8,1,8,0.532201,0.125555,0.520114,0.772987,0.060084,0.777322,0.052117,0.014932,0.054854
gsm8k_orgn_vs_gpqa_orgn,k,21,8,1,8,0.510025,0.112626,0.477491,0.77505,0.053036,0.774075,0.065782,0.011634,0.07031
gsm8k_orgn_vs_gpqa_orgn,k,22,8,1,8,0.52086,0.064185,0.502365,0.757664,0.037986,0.759062,0.048686,0.006561,0.048355
gsm8k_orgn_vs_gpqa_orgn,k,23,8,1,8,0.54065,0.091418,0.546807,0.777362,0.035313,0.77792,0.060749,0.01033,0.060778
gsm8k_orgn_vs_gpqa_orgn,k,24,8,1,8,0.50244,0.107343,0.482736,0.766917,0.042108,0.760594,0.06774,0.008944,0.063088
gsm8k_orgn_vs_gpqa_orgn,k,25,8,1,8,0.718893,0.088503,0.704992,0.868739,0.03912,0.859774,0.051492,0.007375,0.052052
gsm8k_orgn_vs_gpqa_orgn,k,26,8,1,8,0.504618,0.071487,0.492455,0.758121,0.03536,0.763714,0.060971,0.008147,0.062027
gsm8k_orgn_vs_gpqa_orgn,k,27,8,1,8,0.580145,0.088024,0.602408,0.792142,0.046155,0.800926,0.055683,0.008306,0.05643
gsm8k_orgn_vs_gpqa_orgn,k,28,8,1,8,0.408611,0.048347,0.420008,0.711561,0.03172,0.713886,0.062584,0.007308,0.063344
gsm8k_orgn_vs_gpqa_orgn,k,29,8,1,8,0.482619,0.096964,0.454336,0.742806,0.047854,0.729846,0.052172,0.01044,0.050804
gsm8k_orgn_vs_gpqa_orgn,k,30,8,1,8,0.551387,0.109444,0.547978,0.769038,0.046223,0.75692,0.048092,0.009207,0.04467
gsm8k_orgn_vs_gpqa_orgn,k,31,8,1,8,0.489654,0.099258,0.495011,0.724285,0.066939,0.72398,0.053038,0.010219,0.052183
gsm8k_orgn_vs_gpqa_orgn,k,32,8,1,8,0.478594,0.072943,0.513524,0.720047,0.049405,0.722149,0.044904,0.008856,0.044042
gsm8k_orgn_vs_gpqa_orgn,k,33,8,1,8,0.434742,0.050075,0.426819,0.699025,0.033307,0.693232,0.04787,0.005942,0.048626
gsm8k_orgn_vs_gpqa_orgn,k,34,8,1,8,0.423318,0.105827,0.39425,0.716003,0.042068,0.71905,0.047032,0.006812,0.047791
gsm8k_orgn_vs_gpqa_orgn,k,35,8,1,8,0.425238,0.048408,0.415582,0.719203,0.030211,0.723866,0.041527,0.006644,0.039029
gsm8k_orgn_vs_gpqa_orgn,k,36,8,1,8,0.546826,0.101505,0.553446,0.757206,0.055579,0.746688,0.039719,0.008833,0.040804
gsm8k_orgn_vs_gpqa_orgn,k,37,8,1,8,0.501684,0.104129,0.483476,0.738938,0.066732,0.736264,0.037383,0.013846,0.032509
gsm8k_orgn_vs_gpqa_orgn,k,38,8,1,8,0.582266,0.144222,0.529932,0.779424,0.084028,0.761973,0.045294,0.013713,0.046376
gsm8k_orgn_vs_gpqa_orgn,k,39,8,1,8,0.71211,0.0494,0.702096,0.855157,0.031659,0.849103,0.052887,0.016544,0.048156
gsm8k_orgn_vs_gpqa_orgn,q,0,40,1,40,0.470936,0.100218,0.47664,0.778069,0.054689,0.773864,0.032007,0.008434,0.031097
gsm8k_orgn_vs_gpqa_orgn,q,1,40,1,40,0.578499,0.102224,0.56926,0.825677,0.0593,0.83205,0.046918,0.017921,0.043238
gsm8k_orgn_vs_gpqa_orgn,q,2,40,1,40,0.591099,0.106075,0.615765,0.797922,0.057176,0.815209,0.050822,0.016493,0.047241
gsm8k_orgn_vs_gpqa_orgn,q,3,40,1,40,0.483854,0.067576,0.484536,0.743953,0.040853,0.747296,0.045507,0.011865,0.041818
gsm8k_orgn_vs_gpqa_orgn,q,4,40,1,40,0.518995,0.074801,0.532681,0.763384,0.048382,0.768709,0.057691,0.022778,0.053
gsm8k_orgn_vs_gpqa_orgn,q,5,40,1,40,0.470911,0.109228,0.451049,0.74275,0.062931,0.733627,0.051313,0.021099,0.047911
gsm8k_orgn_vs_gpqa_orgn,q,6,40,1,40,0.533344,0.104152,0.536948,0.765789,0.058207,0.771144,0.056287,0.023492,0.04892
gsm8k_orgn_vs_gpqa_orgn,q,7,40,1,40,0.660717,0.096216,0.670572,0.812645,0.055387,0.822599,0.065904,0.025581,0.059532
gsm8k_orgn_vs_gpqa_orgn,q,8,40,1,40,0.674143,0.08993,0.692678,0.827106,0.058364,0.836175,0.065614,0.018067,0.067027
gsm8k_orgn_vs_gpqa_orgn,q,9,40,1,40,0.559462,0.12337,0.586643,0.770692,0.070052,0.768026,0.047469,0.013268,0.048122
gsm8k_orgn_vs_gpqa_orgn,q,10,40,1,40,0.667135,0.089661,0.698934,0.828276,0.056976,0.852212,0.065758,0.020737,0.069974
